sensor_feature,survey_item,correlation,p_value,p_adjusted,effect_size,n_samples,ci_lower,ci_upper,method,interpretation,significant,meaningful
gps_total_distance_1d_max,Q1_score,-0.1311,0.3850082520886168,NaN,0.1311,46,-0.406,0.1655,spearman,small,false,0.0
gps_total_distance_1d_max,Q2_score,-0.3749,0.010263901568155763,NaN,0.3749,46,-0.5999,-0.0949,spearman,medium,false,1.0
gps_total_distance_1d_max,Q3_score,-0.206,0.16967592206506651,NaN,0.206,46,-0.4683,0.0897,spearman,small,false,0.0
gps_total_distance_1d_max,Q4_score,-0.0424,0.7798126706157958,NaN,0.0424,46,-0.3286,0.251,spearman,negligible,false,0.0
gps_total_distance_1d_max,Q5_score,-0.161,0.2851449396196367,NaN,0.161,46,-0.4311,0.1356,spearman,small,false,0.0
gps_total_distance_1d_max,Q6_score,-0.3199,0.030239258993723848,NaN,0.3199,46,-0.5583,-0.0326,spearman,medium,false,1.0
gps_total_distance_1d_max,Q7_score,-0.176,0.24189844909581326,NaN,0.176,46,-0.4437,0.1204,spearman,small,false,0.0
gps_total_distance_1d_max,Q8_score,-0.2283,0.12701474700550713,NaN,0.2283,46,-0.4864,0.0664,spearman,small,false,0.0
gps_total_distance_1d_max,Q9_score,-0.0989,0.5129755128983503,NaN,0.0989,46,-0.3784,0.197,spearman,negligible,false,0.0
gps_total_distance_1d_trend,total_score,NaN,NaN,NaN,NaN,46,NaN,NaN,spearman,large,false,0.0
gps_total_distance_1d_trend,Q1_score,NaN,NaN,NaN,NaN,46,NaN,NaN,spearman,large,false,0.0
gps_total_distance_1d_trend,Q2_score,NaN,NaN,NaN,NaN,46,NaN,NaN,spearman,large,false,0.0
gps_total_distance_1d_trend,Q3_score,NaN,NaN,NaN,NaN,46,NaN,NaN,spearman,large,false,0.0
gps_total_distance_1d_trend,Q4_score,NaN,NaN,NaN,NaN,46,NaN,NaN,spearman,large,false,0.0
gps_total_distance_1d_trend,Q5_score,NaN,NaN,NaN,NaN,46,NaN,NaN,spearman,large,false,0.0
gps_total_distance_1d_trend,Q6_score,NaN,NaN,NaN,NaN,46,NaN,NaN,spearman,large,false,0.0
gps_total_distance_1d_trend,Q7_score,NaN,NaN,NaN,NaN,46,NaN,NaN,spearman,large,false,0.0
gps_total_distance_1d_trend,Q8_score,NaN,NaN,NaN,NaN,46,NaN,NaN,spearman,large,false,0.0
gps_total_distance_1d_trend,Q9_score,NaN,NaN,NaN,NaN,46,NaN,NaN,spearman,large,false,0.0
gps_radius_of_gyration_1d_mean,total_score,-0.3437,0.01934810875450266,NaN,0.3437,46,-0.5765,-0.0593,spearman,medium,false,1.0
gps_radius_of_gyration_1d_mean,Q1_score,-0.131,0.3855034595772311,NaN,0.131,46,-0.4059,0.1656,spearman,small,false,0.0
gps_radius_of_gyration_1d_mean,Q2_score,-0.3906,0.007273511512387032,NaN,0.3906,46,-0.6116,-0.1132,spearman,medium,false,1.0
gps_radius_of_gyration_1d_mean,Q3_score,-0.2232,0.1358620530115665,NaN,0.2232,46,-0.4823,0.0717,spearman,small,false,0.0
gps_radius_of_gyration_1d_mean,Q4_score,-0.0295,0.845610865712577,NaN,0.0295,46,-0.3171,0.263,spearman,negligible,false,0.0
gps_radius_of_gyration_1d_mean,Q5_score,-0.1763,0.2412292176814294,NaN,0.1763,46,-0.4439,0.1202,spearman,small,false,0.0
gps_radius_of_gyration_1d_mean,Q6_score,-0.3402,0.02069197150889026,NaN,0.3402,46,-0.5739,-0.0554,spearman,medium,false,1.0
gps_radius_of_gyration_1d_mean,Q7_score,-0.1827,0.22413118315095157,NaN,0.1827,46,-0.4492,0.1136,spearman,small,false,0.0
gps_radius_of_gyration_1d_mean,Q8_score,-0.2426,0.10434511678308418,NaN,0.2426,46,-0.4978,0.0514,spearman,small,false,0.0
gps_radius_of_gyration_1d_mean,Q9_score,-0.0348,0.8182373464664271,NaN,0.0348,46,-0.3219,0.2581,spearman,negligible,false,0.0
gps_radius_of_gyration_1d_std,total_score,NaN,NaN,NaN,NaN,46,NaN,NaN,spearman,large,false,0.0
gps_radius_of_gyration_1d_std,Q1_score,NaN,NaN,NaN,NaN,46,NaN,NaN,spearman,large,false,0.0
gps_radius_of_gyration_1d_std,Q2_score,NaN,NaN,NaN,NaN,46,NaN,NaN,spearman,large,false,0.0
gps_radius_of_gyration_1d_std,Q3_score,NaN,NaN,NaN,NaN,46,NaN,NaN,spearman,large,false,0.0
gps_radius_of_gyration_1d_std,Q4_score,NaN,NaN,NaN,NaN,46,NaN,NaN,spearman,large,false,0.0
gps_radius_of_gyration_1d_std,Q5_score,NaN,NaN,NaN,NaN,46,NaN,NaN,spearman,large,false,0.0
gps_radius_of_gyration_1d_std,Q6_score,NaN,NaN,NaN,NaN,46,NaN,NaN,spearman,large,false,0.0
gps_radius_of_gyration_1d_std,Q7_score,NaN,NaN,NaN,NaN,46,NaN,NaN,spearman,large,false,0.0
gps_radius_of_gyration_1d_std,Q8_score,NaN,NaN,NaN,NaN,46,NaN,NaN,spearman,large,false,0.0
gps_radius_of_gyration_1d_std,Q9_score,NaN,NaN,NaN,NaN,46,NaN,NaN,spearman,large,false,0.0
gps_radius_of_gyration_1d_min,total_score,-0.3437,0.01934810875450266,NaN,0.3437,46,-0.5765,-0.0593,spearman,medium,false,1.0
gps_radius_of_gyration_1d_min,Q1_score,-0.131,0.3855034595772311,NaN,0.131,46,-0.4059,0.1656,spearman,small,false,0.0
gps_radius_of_gyration_1d_min,Q2_score,-0.3906,0.007273511512387032,NaN,0.3906,46,-0.6116,-0.1132,spearman,medium,false,1.0
gps_radius_of_gyration_1d_min,Q3_score,-0.2232,0.1358620530115665,NaN,0.2232,46,-0.4823,0.0717,spearman,small,false,0.0
gps_radius_of_gyration_1d_min,Q4_score,-0.0295,0.845610865712577,NaN,0.0295,46,-0.3171,0.263,spearman,negligible,false,0.0
gps_radius_of_gyration_1d_min,Q5_score,-0.1763,0.2412292176814294,NaN,0.1763,46,-0.4439,0.1202,spearman,small,false,0.0
gps_radius_of_gyration_1d_min,Q6_score,-0.3402,0.02069197150889026,NaN,0.3402,46,-0.5739,-0.0554,spearman,medium,false,1.0
gps_radius_of_gyration_1d_min,Q7_score,-0.1827,0.22413118315095157,NaN,0.1827,46,-0.4492,0.1136,spearman,small,false,0.0
gps_radius_of_gyration_1d_min,Q8_score,-0.2426,0.10434511678308418,NaN,0.2426,46,-0.4978,0.0514,spearman,small,false,0.0
gps_radius_of_gyration_1d_min,Q9_score,-0.0348,0.8182373464664271,NaN,0.0348,46,-0.3219,0.2581,spearman,negligible,false,0.0
gps_radius_of_gyration_1d_max,total_score,-0.3437,0.01934810875450266,NaN,0.3437,46,-0.5765,-0.0593,spearman,medium,false,1.0
gps_radius_of_gyration_1d_max,Q1_score,-0.131,0.3855034595772311,NaN,0.131,46,-0.4059,0.1656,spearman,small,false,0.0
gps_radius_of_gyration_1d_max,Q2_score,-0.3906,0.007273511512387032,NaN,0.3906,46,-0.6116,-0.1132,spearman,medium,false,1.0
gps_radius_of_gyration_1d_max,Q3_score,-0.2232,0.1358620530115665,NaN,0.2232,46,-0.4823,0.0717,spearman,small,false,0.0
gps_radius_of_gyration_1d_max,Q4_score,-0.0295,0.845610865712577,NaN,0.0295,46,-0.3171,0.263,spearman,negligible,false,0.0
gps_radius_of_gyration_1d_max,Q5_score,-0.1763,0.2412292176814294,NaN,0.1763,46,-0.4439,0.1202,spearman,small,false,0.0
gps_radius_of_gyration_1d_max,Q6_score,-0.3402,0.02069197150889026,NaN,0.3402,46,-0.5739,-0.0554,spearman,medium,false,1.0
gps_radius_of_gyration_1d_max,Q7_score,-0.1827,0.22413118315095157,NaN,0.1827,46,-0.4492,0.1136,spearman,small,false,0.0
gps_radius_of_gyration_1d_max,Q8_score,-0.2426,0.10434511678308418,NaN,0.2426,46,-0.4978,0.0514,spearman,small,false,0.0
gps_radius_of_gyration_1d_max,Q9_score,-0.0348,0.8182373464664271,NaN,0.0348,46,-0.3219,0.2581,spearman,negligible,false,0.0
gps_radius_of_gyration_1d_trend,total_score,NaN,NaN,NaN,NaN,46,NaN,NaN,spearman,large,false,0.0
gps_radius_of_gyration_1d_trend,Q1_score,NaN,NaN,NaN,NaN,46,NaN,NaN,spearman,large,false,0.0
gps_radius_of_gyration_1d_trend,Q2_score,NaN,NaN,NaN,NaN,46,NaN,NaN,spearman,large,false,0.0
gps_radius_of_gyration_1d_trend,Q3_score,NaN,NaN,NaN,NaN,46,NaN,NaN,spearman,large,false,0.0
gps_radius_of_gyration_1d_trend,Q4_score,NaN,NaN,NaN,NaN,46,NaN,NaN,spearman,large,false,0.0
gps_radius_of_gyration_1d_trend,Q5_score,NaN,NaN,NaN,NaN,46,NaN,NaN,spearman,large,false,0.0
gps_radius_of_gyration_1d_trend,Q6_score,NaN,NaN,NaN,NaN,46,NaN,NaN,spearman,large,false,0.0
gps_radius_of_gyration_1d_trend,Q7_score,NaN,NaN,NaN,NaN,46,NaN,NaN,spearman,large,false,0.0
gps_radius_of_gyration_1d_trend,Q8_score,NaN,NaN,NaN,NaN,46,NaN,NaN,spearman,large,false,0.0
gps_radius_of_gyration_1d_trend,Q9_score,NaN,NaN,NaN,NaN,46,NaN,NaN,spearman,large,false,0.0
gps_location_entropy_3d_mean,total_score,-0.2837,0.05603407782466112,NaN,0.2837,46,-0.5303,0.0072,spearman,small,false,0.0
gps_location_entropy_3d_mean,Q1_score,-0.1096,0.4683690791705726,NaN,0.1096,46,-0.3876,0.1866,spearman,small,false,0.0
gps_location_entropy_3d_mean,Q2_score,-0.3257,0.027168747887828713,NaN,0.3257,46,-0.5628,-0.0391,spearman,medium,false,1.0
gps_location_entropy_3d_mean,Q3_score,-0.131,0.38546516226358263,NaN,0.131,46,-0.4059,0.1656,spearman,small,false,0.0
gps_location_entropy_3d_mean,Q4_score,-0.1391,0.35638700269845136,NaN,0.1391,46,-0.4128,0.1575,spearman,small,false,0.0
gps_location_entropy_3d_mean,Q5_score,-0.0486,0.7484670651561993,NaN,0.0486,46,-0.3342,0.2452,spearman,negligible,false,0.0
gps_location_entropy_3d_mean,Q6_score,-0.1839,0.22124890754213444,NaN,0.1839,46,-0.4501,0.1124,spearman,small,false,0.0
gps_location_entropy_3d_mean,Q7_score,-0.1836,0.2219296429652085,NaN,0.1836,46,-0.4499,0.1127,spearman,small,false,0.0
gps_location_entropy_3d_mean,Q8_score,-0.3132,0.03408460204710292,NaN,0.3132,46,-0.5532,-0.0251,spearman,medium,false,1.0
gps_location_entropy_3d_mean,Q9_score,-0.103,0.49583708885707956,NaN,0.103,46,-0.3819,0.1931,spearman,small,false,0.0
gps_location_entropy_3d_std,total_score,-0.1291,0.3924703814814705,NaN,0.1291,46,-0.4043,0.1675,spearman,small,false,0.0
gps_location_entropy_3d_std,Q1_score,-0.0978,0.5180508820222951,NaN,0.0978,46,-0.3774,0.1982,spearman,negligible,false,0.0
gps_location_entropy_3d_std,Q2_score,-0.1402,0.35266854070090026,NaN,0.1402,46,-0.4137,0.1564,spearman,small,false,0.0
gps_location_entropy_3d_std,Q3_score,-0.0643,0.6709841792939273,NaN,0.0643,46,-0.3481,0.2303,spearman,negligible,false,0.0
gps_location_entropy_3d_std,Q4_score,-0.1817,0.22680528103462183,NaN,0.1817,46,-0.4484,0.1146,spearman,small,false,0.0
gps_location_entropy_3d_std,Q5_score,0.0165,0.9132705349390903,NaN,0.0165,46,-0.2751,0.3053,spearman,negligible,false,0.0
gps_location_entropy_3d_std,Q6_score,-0.0786,0.6036581417128777,NaN,0.0786,46,-0.3607,0.2167,spearman,negligible,false,0.0
gps_location_entropy_3d_std,Q7_score,0.0214,0.8876584143497901,NaN,0.0214,46,-0.2706,0.3098,spearman,negligible,false,0.0
gps_location_entropy_3d_std,Q8_score,-0.1293,0.391581888418263,NaN,0.1293,46,-0.4045,0.1672,spearman,small,false,0.0
gps_location_entropy_3d_std,Q9_score,0.1711,0.25547540169821753,NaN,0.1711,46,-0.1254,0.4396,spearman,small,false,0.0
gps_location_entropy_3d_min,total_score,-0.2865,0.05355740766306125,NaN,0.2865,46,-0.5325,0.0041,spearman,small,false,0.0
gps_location_entropy_3d_min,Q1_score,-0.1155,0.4446537861659541,NaN,0.1155,46,-0.3926,0.1809,spearman,small,false,0.0
gps_location_entropy_3d_min,Q2_score,-0.3307,0.024765415603644807,NaN,0.3307,46,-0.5666,-0.0447,spearman,medium,false,1.0
gps_location_entropy_3d_min,Q3_score,-0.1198,0.42776084912028767,NaN,0.1198,46,-0.3963,0.1766,spearman,small,false,0.0
gps_location_entropy_3d_min,Q4_score,-0.1215,0.42127223605095787,NaN,0.1215,46,-0.3977,0.175,spearman,small,false,0.0
gps_location_entropy_3d_min,Q5_score,-0.0673,0.6565993701809788,NaN,0.0673,46,-0.3508,0.2274,spearman,negligible,false,0.0
gps_location_entropy_3d_min,Q6_score,-0.186,0.21574186585930655,NaN,0.186,46,-0.4519,0.1102,spearman,small,false,0.0
gps_location_entropy_3d_min,Q7_score,-0.2169,0.14770036372165454,NaN,0.2169,46,-0.4771,0.0784,spearman,small,false,0.0
gps_location_entropy_3d_min,Q8_score,-0.3169,0.031869929716058724,NaN,0.3169,46,-0.5561,-0.0293,spearman,medium,false,1.0
gps_location_entropy_3d_min,Q9_score,-0.1454,0.33501460209393963,NaN,0.1454,46,-0.418,0.1513,spearman,small,false,0.0
gps_location_entropy_3d_max,total_score,-0.3095,0.03632756736385164,NaN,0.3095,46,-0.5504,-0.0211,spearman,medium,false,1.0
gps_location_entropy_3d_max,Q1_score,-0.1352,0.37032719811387194,NaN,0.1352,46,-0.4094,0.1614,spearman,small,false,0.0
gps_location_entropy_3d_max,Q2_score,-0.3475,0.017974192743152102,NaN,0.3475,46,-0.5793,-0.0636,spearman,medium,false,1.0
gps_location_entropy_3d_max,Q3_score,-0.1348,0.37169611896391885,NaN,0.1348,46,-0.4091,0.1618,spearman,small,false,0.0
gps_location_entropy_3d_max,Q4_score,-0.1861,0.21551996477686777,NaN,0.1861,46,-0.452,0.1101,spearman,small,false,0.0
gps_location_entropy_3d_max,Q5_score,-0.066,0.6627611235404824,NaN,0.066,46,-0.3496,0.2286,spearman,negligible,false,0.0
gps_location_entropy_3d_max,Q6_score,-0.2101,0.16110082721791913,NaN,0.2101,46,-0.4716,0.0854,spearman,small,false,0.0
gps_location_entropy_3d_max,Q7_score,-0.1892,0.2078092287743729,NaN,0.1892,46,-0.4546,0.1069,spearman,small,false,0.0
gps_location_entropy_3d_max,Q8_score,-0.3212,0.029499180341742832,NaN,0.3212,46,-0.5594,-0.0341,spearman,medium,false,1.0
gps_location_entropy_3d_max,Q9_score,-0.0782,0.6052378498082615,NaN,0.0782,46,-0.3604,0.217,spearman,negligible,false,0.0
gps_location_entropy_3d_trend,total_score,-0.1894,0.20739642377675516,NaN,0.1894,46,-0.4547,0.1068,spearman,small,false,0.0
gps_location_entropy_3d_trend,Q1_score,-0.1359,0.36767257371276474,NaN,0.1359,46,-0.4101,0.1607,spearman,small,false,0.0
gps_location_entropy_3d_trend,Q2_score,-0.2182,0.145086067117715,NaN,0.2182,46,-0.4782,0.0769,spearman,small,false,0.0
gps_location_entropy_3d_trend,Q3_score,-0.0613,0.6858538732326309,NaN,0.0613,46,-0.3454,0.2332,spearman,negligible,false,0.0
gps_location_entropy_3d_trend,Q4_score,-0.1203,0.4259265435933821,NaN,0.1203,46,-0.3967,0.1762,spearman,small,false,0.0
gps_location_entropy_3d_trend,Q5_score,0.0799,0.5978294740892325,NaN,0.0799,46,-0.2154,0.3618,spearman,negligible,false,0.0
gps_location_entropy_3d_trend,Q6_score,-0.1365,0.36584465469339666,NaN,0.1365,46,-0.4105,0.1602,spearman,small,false,0.0
gps_location_entropy_3d_trend,Q7_score,-0.0626,0.6793637062376126,NaN,0.0626,46,-0.3466,0.2319,spearman,negligible,false,0.0
gps_location_entropy_3d_trend,Q8_score,-0.0969,0.5218357097395929,NaN,0.0969,46,-0.3766,0.199,spearman,negligible,false,0.0
gps_location_entropy_3d_trend,Q9_score,-0.109,0.47069382046759245,NaN,0.109,46,-0.3871,0.1872,spearman,small,false,0.0
gps_home_stay_ratio_3d_mean,total_score,0.392,0.007057483608588951,NaN,0.392,46,0.1147,0.6126,spearman,medium,false,1.0
gps_home_stay_ratio_3d_mean,Q1_score,0.2109,0.1594727277112009,NaN,0.2109,46,-0.0846,0.4723,spearman,small,false,0.0
gps_home_stay_ratio_3d_mean,Q2_score,0.4466,0.0018614364402100565,NaN,0.4466,46,0.1796,0.6524,spearman,medium,false,1.0
gps_home_stay_ratio_3d_mean,Q3_score,0.236,0.11434586073055096,NaN,0.236,46,-0.0583,0.4926,spearman,small,false,0.0
gps_home_stay_ratio_3d_mean,Q4_score,0.1752,0.24430188295513255,NaN,0.1752,46,-0.1213,0.4429,spearman,small,false,0.0
gps_home_stay_ratio_3d_mean,Q5_score,0.1657,0.2712175431719036,NaN,0.1657,46,-0.1309,0.435,spearman,small,false,0.0
gps_home_stay_ratio_3d_mean,Q6_score,0.2398,0.10839694804714649,NaN,0.2398,46,-0.0542,0.4956,spearman,small,false,0.0
gps_home_stay_ratio_3d_mean,Q7_score,0.2927,0.0483930540418947,NaN,0.2927,46,0.0026,0.5373,spearman,small,false,0.0
gps_home_stay_ratio_3d_mean,Q8_score,0.3551,0.0154617859506382,NaN,0.3551,46,0.0722,0.5851,spearman,medium,false,1.0
gps_home_stay_ratio_3d_mean,Q9_score,0.101,0.5043692362704977,NaN,0.101,46,-0.1951,0.3801,spearman,small,false,0.0
gps_home_stay_ratio_3d_std,total_score,-0.2704,0.06909939786218466,NaN,0.2704,46,-0.5199,0.0216,spearman,small,false,0.0
gps_home_stay_ratio_3d_std,Q1_score,-0.2035,0.17492724460631145,NaN,0.2035,46,-0.4663,0.0922,spearman,small,false,0.0
gps_home_stay_ratio_3d_std,Q2_score,-0.2226,0.1369924593310645,NaN,0.2226,46,-0.4818,0.0724,spearman,small,false,0.0
gps_home_stay_ratio_3d_std,Q3_score,-0.1962,0.1912302012183944,NaN,0.1962,46,-0.4603,0.0998,spearman,small,false,0.0
gps_home_stay_ratio_3d_std,Q4_score,-0.2219,0.1383543779977684,NaN,0.2219,46,-0.4812,0.0731,spearman,small,false,0.0
gps_home_stay_ratio_3d_std,Q5_score,-0.148,0.32631475393519294,NaN,0.148,46,-0.4202,0.1487,spearman,small,false,0.0
gps_home_stay_ratio_3d_std,Q6_score,-0.0877,0.5622559009104218,NaN,0.0877,46,-0.3686,0.2079,spearman,negligible,false,0.0
gps_home_stay_ratio_3d_std,Q7_score,-0.2094,0.16241622384884852,NaN,0.2094,46,-0.4711,0.0861,spearman,small,false,0.0
gps_home_stay_ratio_3d_std,Q8_score,-0.2771,0.06229307913515778,NaN,0.2771,46,-0.5251,0.0144,spearman,small,false,0.0
gps_home_stay_ratio_3d_std,Q9_score,0.1782,0.2360711990855018,NaN,0.1782,46,-0.1182,0.4455,spearman,small,false,0.0
gps_home_stay_ratio_3d_min,total_score,0.4418,0.002113396842876778,NaN,0.4418,46,0.1738,0.6489,spearman,medium,false,1.0
gps_home_stay_ratio_3d_min,Q1_score,0.2659,0.07404693454684558,NaN,0.2659,46,-0.0264,0.5164,spearman,small,false,0.0
gps_home_stay_ratio_3d_min,Q2_score,0.4744,0.0008669056483911292,NaN,0.4744,46,0.2135,0.6721,spearman,medium,false,1.0
gps_home_stay_ratio_3d_min,Q3_score,0.2604,0.08054790849563911,NaN,0.2604,46,-0.0324,0.512,spearman,small,false,0.0
gps_home_stay_ratio_3d_min,Q4_score,0.2018,0.17867260354390602,NaN,0.2018,46,-0.094,0.4649,spearman,small,false,0.0
gps_home_stay_ratio_3d_min,Q5_score,0.2083,0.1647951451782298,NaN,0.2083,46,-0.0873,0.4702,spearman,small,false,0.0
gps_home_stay_ratio_3d_min,Q6_score,0.2716,0.06783844538540622,NaN,0.2716,46,-0.0203,0.5209,spearman,small,false,0.0
gps_home_stay_ratio_3d_min,Q7_score,0.3278,0.02615247791623396,NaN,0.3278,46,0.0415,0.5644,spearman,medium,false,1.0
gps_home_stay_ratio_3d_min,Q8_score,0.3728,0.010732732598081966,NaN,0.3728,46,0.0925,0.5983,spearman,medium,false,1.0
gps_home_stay_ratio_3d_min,Q9_score,0.1,0.5086631631729817,NaN,0.1,46,-0.196,0.3792,spearman,negligible,false,0.0
gps_home_stay_ratio_3d_max,total_score,0.3454,0.018704990922981612,NaN,0.3454,46,0.0613,0.5778,spearman,medium,false,1.0
gps_home_stay_ratio_3d_max,Q1_score,0.1563,0.29973684700363384,NaN,0.1563,46,-0.1404,0.4272,spearman,small,false,0.0
gps_home_stay_ratio_3d_max,Q2_score,0.4088,0.004795269302641898,NaN,0.4088,46,0.1344,0.6249,spearman,medium,false,1.0
gps_home_stay_ratio_3d_max,Q3_score,0.2174,0.14673448285070576,NaN,0.2174,46,-0.0778,0.4775,spearman,small,false,0.0
gps_home_stay_ratio_3d_max,Q4_score,0.125,0.4079894565320289,NaN,0.125,46,-0.1716,0.4007,spearman,small,false,0.0
gps_home_stay_ratio_3d_max,Q5_score,0.1529,0.3102428440694014,NaN,0.1529,46,-0.1437,0.4244,spearman,small,false,0.0
gps_home_stay_ratio_3d_max,Q6_score,0.2231,0.1360759175895496,NaN,0.2231,46,-0.0718,0.4822,spearman,small,false,0.0
gps_home_stay_ratio_3d_max,Q7_score,0.2588,0.08247440824065094,NaN,0.2588,46,-0.0341,0.5107,spearman,small,false,0.0
gps_home_stay_ratio_3d_max,Q8_score,0.3197,0.030335191270170505,NaN,0.3197,46,0.0324,0.5582,spearman,medium,false,1.0
gps_home_stay_ratio_3d_max,Q9_score,0.1126,0.45634708887737274,NaN,0.1126,46,-0.1837,0.3901,spearman,small,false,0.0
gps_home_stay_ratio_3d_trend,total_score,0.1407,0.3509582450146197,NaN,0.1407,46,-0.156,0.4141,spearman,small,false,0.0
gps_home_stay_ratio_3d_trend,Q1_score,0.1006,0.5058923166448164,NaN,0.1006,46,-0.1954,0.3798,spearman,small,false,0.0
gps_home_stay_ratio_3d_trend,Q2_score,0.1497,0.3206017217940938,NaN,0.1497,46,-0.1469,0.4217,spearman,small,false,0.0
gps_home_stay_ratio_3d_trend,Q3_score,-0.0763,0.6143394175364612,NaN,0.0763,46,-0.3586,0.2189,spearman,negligible,false,0.0
gps_home_stay_ratio_3d_trend,Q4_score,0.0641,0.6723666958756411,NaN,0.0641,46,-0.2305,0.3479,spearman,negligible,false,0.0
gps_home_stay_ratio_3d_trend,Q5_score,-0.0627,0.6790809979126498,NaN,0.0627,46,-0.3467,0.2319,spearman,negligible,false,0.0
gps_home_stay_ratio_3d_trend,Q6_score,-0.0013,0.9932083997314944,NaN,0.0013,46,-0.2915,0.2891,spearman,negligible,false,0.0
gps_home_stay_ratio_3d_trend,Q7_score,0.0495,0.743695844533447,NaN,0.0495,46,-0.2443,0.335,spearman,negligible,false,0.0
gps_home_stay_ratio_3d_trend,Q8_score,0.1422,0.34571928981832856,NaN,0.1422,46,-0.1544,0.4154,spearman,small,false,0.0
gps_home_stay_ratio_3d_trend,Q9_score,0.0207,0.8914035067968151,NaN,0.0207,46,-0.2712,0.3091,spearman,negligible,false,0.0
gps_n_locations_3d_mean,total_score,-0.2123,0.15662585211870078,NaN,0.2123,46,-0.4734,0.0831,spearman,small,false,0.0
gps_n_locations_3d_mean,Q1_score,-0.0787,0.6032835057650443,NaN,0.0787,46,-0.3607,0.2166,spearman,negligible,false,0.0
gps_n_locations_3d_mean,Q2_score,-0.261,0.0797205909390857,NaN,0.261,46,-0.5125,0.0316,spearman,small,false,0.0
gps_n_locations_3d_mean,Q3_score,-0.0769,0.6115456799233812,NaN,0.0769,46,-0.3592,0.2183,spearman,negligible,false,0.0
gps_n_locations_3d_mean,Q4_score,-0.1001,0.5082078429276283,NaN,0.1001,46,-0.3793,0.1959,spearman,small,false,0.0
gps_n_locations_3d_mean,Q5_score,0.0347,0.8188369014838489,NaN,0.0347,46,-0.2582,0.3218,spearman,negligible,false,0.0
gps_n_locations_3d_mean,Q6_score,-0.1581,0.2941216257302362,NaN,0.1581,46,-0.4287,0.1386,spearman,small,false,0.0
gps_n_locations_3d_mean,Q7_score,-0.1494,0.3216646421860412,NaN,0.1494,46,-0.4214,0.1473,spearman,small,false,0.0
gps_n_locations_3d_mean,Q8_score,-0.2182,0.14525113791510555,NaN,0.2182,46,-0.4782,0.077,spearman,small,false,0.0
gps_n_locations_3d_mean,Q9_score,-0.1106,0.4645159830391651,NaN,0.1106,46,-0.3884,0.1857,spearman,small,false,0.0
gps_n_locations_3d_std,total_score,-0.1562,0.2998456775653629,NaN,0.1562,46,-0.4271,0.1404,spearman,small,false,0.0
gps_n_locations_3d_std,Q1_score,-0.072,0.6342625148391369,NaN,0.072,46,-0.3549,0.2229,spearman,negligible,false,0.0
gps_n_locations_3d_std,Q2_score,-0.182,0.2259487659464846,NaN,0.182,46,-0.4486,0.1143,spearman,small,false,0.0
gps_n_locations_3d_std,Q3_score,-0.1445,0.338020878536731,NaN,0.1445,46,-0.4173,0.1522,spearman,small,false,0.0
gps_n_locations_3d_std,Q4_score,-0.1271,0.3999366545109436,NaN,0.1271,46,-0.4025,0.1694,spearman,small,false,0.0
gps_n_locations_3d_std,Q5_score,0.0128,0.9327689597469355,NaN,0.0128,46,-0.2785,0.302,spearman,negligible,false,0.0
gps_n_locations_3d_std,Q6_score,-0.1127,0.45589590700112925,NaN,0.1127,46,-0.3902,0.1836,spearman,small,false,0.0
gps_n_locations_3d_std,Q7_score,-0.0707,0.6407039485364673,NaN,0.0707,46,-0.3537,0.2242,spearman,negligible,false,0.0
gps_n_locations_3d_std,Q8_score,-0.0654,0.6656435375879497,NaN,0.0654,46,-0.3491,0.2292,spearman,negligible,false,0.0
gps_n_locations_3d_std,Q9_score,0.0384,0.8001573969453996,NaN,0.0384,46,-0.2548,0.325,spearman,negligible,false,0.0
gps_n_locations_3d_min,total_score,-0.2147,0.15196743105571633,NaN,0.2147,46,-0.4753,0.0807,spearman,small,false,0.0
gps_n_locations_3d_min,Q1_score,-0.0714,0.6374599130963157,NaN,0.0714,46,-0.3543,0.2236,spearman,negligible,false,0.0
gps_n_locations_3d_min,Q2_score,-0.2417,0.10566157728229057,NaN,0.2417,46,-0.4971,0.0523,spearman,small,false,0.0
gps_n_locations_3d_min,Q3_score,-0.0501,0.7411275788313946,NaN,0.0501,46,-0.3355,0.2438,spearman,negligible,false,0.0
gps_n_locations_3d_min,Q4_score,-0.092,0.5429975365456029,NaN,0.092,46,-0.3724,0.2037,spearman,negligible,false,0.0
gps_n_locations_3d_min,Q5_score,0.0152,0.9203556441964709,NaN,0.0152,46,-0.2764,0.3041,spearman,negligible,false,0.0
gps_n_locations_3d_min,Q6_score,-0.1405,0.3515644889442887,NaN,0.1405,46,-0.4139,0.1561,spearman,small,false,0.0
gps_n_locations_3d_min,Q7_score,-0.1821,0.22579219782723403,NaN,0.1821,46,-0.4487,0.1142,spearman,small,false,0.0
gps_n_locations_3d_min,Q8_score,-0.2664,0.07348931603073817,NaN,0.2664,46,-0.5168,0.0259,spearman,small,false,0.0
gps_n_locations_3d_min,Q9_score,-0.1646,0.274426696414335,NaN,0.1646,46,-0.4341,0.132,spearman,small,false,0.0
gps_n_locations_3d_max,total_score,-0.1821,0.2258271317561071,NaN,0.1821,46,-0.4487,0.1142,spearman,small,false,0.0
gps_n_locations_3d_max,Q1_score,-0.0718,0.6355406876958845,NaN,0.0718,46,-0.3547,0.2232,spearman,negligible,false,0.0
gps_n_locations_3d_max,Q2_score,-0.2217,0.13876130328388592,NaN,0.2217,46,-0.481,0.0734,spearman,small,false,0.0
